id,collected_at_utc,location,weather_time,temperature_c,feels_like_c,humidity_percent,precipitation_mm,cloud_cover_percent,wind_speed_kmh,surface_pressure_hpa
268,2026-07-17 11:47:59.864435+00,Colliers Wood,2026-07-17 11:45:00+00,25.3,26.2,39,0,0,6.8,1015.1
269,2026-07-17 16:37:38.079617+00,Colliers Wood,2026-07-17 16:30:00+00,29.7,27.5,25,0,28,10.4,1012.7
270,2026-07-17 20:15:48.175375+00,Colliers Wood,2026-07-17 20:15:00+00,23.4,23.1,62,0,0,15.1,1014.6
271,2026-07-17 23:34:04.688708+00,Colliers Wood,2026-07-17 23:30:00+00,20,20,75,0,0,12.2,1016
272,2026-07-18 06:33:18.339991+00,Colliers Wood,2026-07-18 06:30:00+00,16.8,15.9,71,0,62,9.4,1017.7
273,2026-07-18 10:49:10.539972+00,Colliers Wood,2026-07-18 10:45:00+00,20.7,20,44,0,1,10.8,1017.8
274,2026-07-18 13:56:40.528726+00,Colliers Wood,2026-07-18 13:45:00+00,23.9,21.9,35,0,84,13,1017.8
275,2026-07-18 14:38:05.392202+00,Colliers Wood,2026-07-18 14:30:00+00,24.1,21.3,34,0,77,14,1017.9
277,2026-07-18 14:51:49.14855+00,Colliers Wood,2026-07-18 14:45:00+00,24.2,21.4,33,0,67,14,1017.8
278,2026-07-18 15:02:31.294936+00,Colliers Wood,2026-07-18 15:00:00+00,24.3,21.4,33,0,63,14,1017.7
279,2026-07-18 18:11:36.273958+00,Colliers Wood,2026-07-18 18:00:00+00,22.1,19.9,45,0,13,14.8,1018.4
280,2026-07-18 21:09:13.016185+00,Colliers Wood,2026-07-18 21:00:00+00,19.1,16.9,56,0,62,15.5,1019.9
281,2026-07-19 00:14:53.912202+00,Colliers Wood,2026-07-19 00:00:00+00,16.7,14.6,60,0,21,12.2,1020.9
282,2026-07-19 07:58:01.517561+00,Colliers Wood,2026-07-19 07:45:00+00,15.8,12.9,53,0,34,13.7,1022.8
283,2026-07-19 11:42:10.754947+00,Colliers Wood,2026-07-19 11:30:00+00,20.7,18.6,35,0,67,13.3,1023
284,2026-07-19 15:32:39.790446+00,Colliers Wood,2026-07-19 15:30:00+00,23,19.5,30,0,36,14.4,1022.4
285,2026-07-19 18:42:17.155233+00,Colliers Wood,2026-07-19 18:30:00+00,21.4,18.2,34,0,29,13.7,1023.2
286,2026-07-19 21:37:22.971918+00,Colliers Wood,2026-07-19 21:30:00+00,18.1,15.3,48,0,0,13.7,1024.5
287,2026-07-20 08:28:53.599089+00,Colliers Wood,2026-07-20 08:15:00+00,16.5,14.4,53,0,0,9,1025.5
288,2026-07-20 15:32:17.808276+00,Colliers Wood,2026-07-20 15:30:00+00,25.6,22.9,27,0,71,10.4,1024
289,2026-07-20 20:45:13.417832+00,Colliers Wood,2026-07-20 20:45:00+00,20.8,18.9,51,0,18,14,1025.3
290,2026-07-21 00:08:24.533231+00,Colliers Wood,2026-07-21 00:00:00+00,17.7,17.4,68,0,0,5.8,1026.2
291,2026-07-21 09:40:36.405184+00,Colliers Wood,2026-07-21 09:30:00+00,18.6,17.5,61,0,84,9,1026.8
